Frame,Landmark_0_x,Landmark_0_y,Landmark_1_x,Landmark_1_y,Landmark_2_x,Landmark_2_y,Landmark_3_x,Landmark_3_y,Landmark_4_x,Landmark_4_y,Landmark_5_x,Landmark_5_y,Landmark_6_x,Landmark_6_y,Landmark_7_x,Landmark_7_y,Landmark_8_x,Landmark_8_y,Landmark_9_x,Landmark_9_y,Landmark_10_x,Landmark_10_y,Landmark_11_x,Landmark_11_y,Landmark_12_x,Landmark_12_y,Landmark_13_x,Landmark_13_y,Landmark_14_x,Landmark_14_y,Landmark_15_x,Landmark_15_y,Landmark_16_x,Landmark_16_y,Landmark_17_x,Landmark_17_y,Landmark_18_x,Landmark_18_y,Landmark_19_x,Landmark_19_y,Landmark_20_x,Landmark_20_y,Label
720,277,1141,384,1024,420,905,379,813,299,782,455,842,372,716,339,752,333,795,363,831,336,637,312,538,294,469,265,847,230,736,232,801,246,861,174,883,178,822,189,872,201,914,0
744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
792,162,976,111,864,112,756,186,691,257,687,123,665,220,602,231,651,219,686,205,687,286,535,327,451,360,388,282,731,326,656,303,704,278,753,347,792,354,743,328,780,320,816,0
816,219,945,165,822,170,714,239,655,315,653,180,621,257,576,268,625,256,659,263,637,341,505,382,421,413,359,342,677,377,629,358,669,336,713,407,737,410,701,388,736,377,773,0
840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
864,54,925,206,982,382,893,484,756,446,639,366,761,462,677,431,716,391,740,302,687,401,515,452,409,498,300,223,655,281,564,265,690,244,767,131,645,191,598,189,702,172,762,0
888,28,943,193,977,365,903,474,779,442,670,341,781,440,701,434,708,414,725,283,705,377,534,434,413,473,305,206,670,273,561,271,676,252,765,116,656,190,602,196,693,182,765,0
912,92,584,87,616,110,639,149,655,198,668,228,550,294,665,332,734,357,794,266,541,341,656,383,736,408,804,285,552,364,641,405,716,429,780,295,574,354,622,392,668,417,713,9,933,185,860,278,777,360,722,419,662,202,576,314,484,381,418,437,354,157,552,277,465,363,388,426,323,119,554,289,578,348,688,365,780,93,584,248,608,301,690,319,770,0
936,130,958,104,807,130,677,234,631,325,639,91,593,251,534,285,589,282,638,186,635,339,450,424,347,492,270,278,700,380,593,353,646,310,697,353,778,380,707,352,741,337,775,0
960,146,1007,131,846,169,716,291,664,391,668,117,640,282,573,308,635,296,686,210,680,373,497,460,394,531,321,301,742,417,637,385,694,343,750,379,818,410,744,380,784,365,816,0
984,54,997,107,845,198,723,325,649,431,612,69,584,249,472,362,414,443,364,100,596,303,441,429,336,523,250,150,642,383,623,414,716,402,785,214,708,392,702,428,764,435,815,0
1008,-34,1059,97,1075,251,1018,330,916,317,812,266,857,420,733,509,682,581,623,205,801,300,703,261,775,216,842,133,756,221,652,200,718,164,791,46,725,127,649,144,685,137,742,0
1032,-87,903,70,968,237,951,369,874,411,772,272,833,371,770,384,729,388,679,252,765,396,693,509,651,603,612,206,716,321,662,332,715,307,775,155,671,250,623,285,655,292,703,0
